Name,Power,W/m2,Diameter,hub height [m],Noise @ 3m/s [dB],Noise @ 4m/s [dB],Noise @ 5m/s [dB],Noise @ 6m/s [dB],Noise @ 7m/s [dB],Noise @ 8m/s [dB],Noise @ 9m/s [dB],Noise @ 10m/s [dB],Noise @ 11m/s [dB],Noise @ 12m/s [dB],Valid,Company,Variant,Sec. power,Def. hub height,Edit date
,,,,,wind speed at 10m,,,,,,,,,,,,,,,
Siemens SWT-2.3-108 2300 108.0 !O!,2 300,251.1,108,78.3,,,,104.7,,107.0,,,,,Yes,Siemens,SWT-2.3-108,,80,26.07.2016
Siemens SWT-2.3-108 2300 108.0 !O!,2 300,251.1,108,80.0,,,,104.8,,107.0,,,,,Yes,Siemens,SWT-2.3-108,,80,26.07.2016
Siemens SWT-2.3-108 2300 108.0 !O!,2 300,251.1,108,96.0,,,,105.4,,107.0,,,,,Yes,Siemens,SWT-2.3-108,,80,26.07.2016
Siemens SWT-2.3-108 2300 108.0 !O!,2 300,251.1,108,98.1,,,,105.5,,107.0,,,,,Yes,Siemens,SWT-2.3-108,,80,26.07.2016
Siemens SWT-2.3-108 2300 108.0 !O!,2 300,251.1,108,115.0,,,,106.1,,107.0,,,,,Yes,Siemens,SWT-2.3-108,,80,26.07.2016
Siemens SWT-3.0-108 3000 108.0 !O!,3 000,327.5,108,79.5,90.8,94.9,99.5,104.2,106.5,107.0,107.0,107.0,107.0,107.0,Yes,Siemens,SWT-3.0-108,,79.5,26.07.2016
Siemens SWT-3.0-108 3000 108.0 !O!,3 000,327.5,108,89.5,91.0,95.2,99.9,104.5,106.7,107.0,107.0,107.0,,,Yes,Siemens,SWT-3.0-108,,79.5,26.07.2016
Siemens SWT-3.0-108 3000 108.0 !O!,3 000,327.5,108,94.0,91.1,95.3,100.0,104.6,106.8,107.0,107.0,107.0,107.0,107.0,Yes,Siemens,SWT-3.0-108,,79.5,26.07.2016
Siemens SWT-3.0-113 3000 113.0 !O!,3 000,299.1,113,79.5,90.5,94.8,99.4,103.9,105.4,105.5,105.5,105.5,,,Yes,Siemens,SWT-3.0-113,,83.5,13.09.2016
Siemens SWT-3.0-113 3000 113.0 !O!,3 000,299.1,113,83.5,90.6,94.9,99.5,104.0,105.4,105.5,105.5,105.5,,,Yes,Siemens,SWT-3.0-113,,83.5,13.09.2016
Siemens SWT-3.0-113 3000 113.0 !O!,3 000,299.1,113,88.0,90.7,95.1,99.7,104.1,105.5,105.5,105.5,105.5,,,Yes,Siemens,SWT-3.0-113,,83.5,13.09.2016
Siemens SWT-3.0-113 3000 113.0 !O!,3 000,299.1,113,92.5,90.7,95.3,99.9,104.2,105.5,105.5,105.5,105.5,,,Yes,Siemens,SWT-3.0-113,,83.5,13.09.2016
Siemens SWT-3.0-113 3000 113.0 !O!,3 000,299.1,113,99.5,90.9,95.5,100.1,104.4,105.5,105.5,105.5,105.5,,,Yes,Siemens,SWT-3.0-113,,83.5,13.09.2016
Siemens SWT-3.0-113 3000 113.0 !O!,3 000,299.1,113,115.0,91.1,95.9,100.6,104.7,105.5,105.5,105.5,105.5,,,Yes,Siemens,SWT-3.0-113,,83.5,13.09.2016
Siemens SWT-3.0-113 3000 113.0 !O!,3 000,299.1,113,127.5,91.2,96.2,101.0,105.0,105.5,105.5,105.5,105.5,,,Yes,Siemens,SWT-3.0-113,,83.5,13.09.2016
Siemens SWT-3.15-142 3150 142.0 !O!,3 150,198.9,142,109.0,95.9,100.0,104.9,104.9,104.9,104.9,104.9,104.9,,,Yes,Siemens,SWT-3.15-142,,109,04.12.2017
Siemens SWT-3.15-142 3150 142.0 !O!,3 150,198.9,142,129.0,96.0,100.5,104.9,104.9,104.9,104.9,104.9,104.9,,,Yes,Siemens,SWT-3.15-142,,109,04.12.2017
Siemens SWT-3.2-108 3200 107.8 !O!,3 200,350.6,107.8,74.5,90.7,94.7,99.2,104.0,106.5,107.0,107.0,107.0,107.0,107.0,Yes,Siemens,SWT-3.2-108,,94,20.07.2018
Siemens SWT-3.2-108 3200 107.8 !O!,3 200,350.6,107.8,79.5,90.8,94.9,99.5,104.2,106.5,107.0,107.0,107.0,107.0,107.0,Yes,Siemens,SWT-3.2-108,,94,20.07.2018
Siemens SWT-3.2-108 3200 107.8 !O!,3 200,350.6,107.8,89.5,91.0,95.2,99.9,104.5,106.7,107.0,107.0,107.0,107.0,107.0,Yes,Siemens,SWT-3.2-108,,94,20.07.2018
Siemens SWT-3.2-108 3200 107.8 !O!,3 200,350.6,107.8,94.0,91.1,95.3,100.0,104.6,106.8,107.0,107.0,107.0,107.0,107.0,Yes,Siemens,SWT-3.2-108,,94,20.07.2018
Siemens SWT-3.2-108 3200 108.0 !O!,3 200,349.3,108,74.5,90.7,94.7,99.2,104.0,106.5,107.0,107.0,107.0,,,Yes,Siemens,SWT-3.2-108,,94,30.05.2016
Siemens SWT-3.2-108 3200 108.0 !O!,3 200,349.3,108,89.5,91.0,95.2,99.9,104.5,106.7,107.0,107.0,107.0,,,Yes,Siemens,SWT-3.2-108,,94,30.05.2016
Siemens SWT-3.2-108 3200 108.0 !O!,3 200,349.3,108,94.0,91.1,95.3,100.0,104.6,106.8,107.0,107.0,107.0,,,Yes,Siemens,SWT-3.2-108,,94,30.05.2016
Siemens SWT-3.2-113 2B 3200 113.0 !O!,3 200,319.1,113,79.5,90.5,94.8,99.4,104.4,107.3,107.5,107.5,107.5,107.5,107.5,Yes,Siemens,SWT-3.2-113 2B,,92.5,14.01.2015
Siemens SWT-3.2-113 2B 3200 113.0 !O!,3 200,319.1,113,92.5,90.7,95.3,99.9,105.0,107.4,107.5,107.5,107.5,107.5,107.5,Yes,Siemens,SWT-3.2-113 2B,,92.5,14.01.2015
Siemens SWT-3.2-113 2B 3200 113.0 !O!,3 200,319.1,113,99.5,90.9,95.5,100.1,105.2,107.5,107.5,107.5,107.5,107.5,107.5,Yes,Siemens,SWT-3.2-113 2B,,92.5,14.01.2015
Siemens SWT-3.2-113 2B 3200 113.0 !O!,3 200,319.1,113,79.5,90.5,94.8,99.4,104.4,107.3,107.5,107.5,107.5,107.5,107.5,Yes,Siemens,SWT-3.2-113 2B,,92.5,26.07.2016
Siemens SWT-3.2-113 2B 3200 113.0 !O!,3 200,319.1,113,92.5,90.7,95.3,99.9,105.0,107.4,107.5,107.5,107.5,107.5,107.5,Yes,Siemens,SWT-3.2-113 2B,,92.5,26.07.2016
Siemens SWT-3.2-113 2B 3200 113.0 !O!,3 200,319.1,113,99.5,90.9,95.5,100.1,105.2,107.5,107.5,107.5,107.5,107.5,107.5,Yes,Siemens,SWT-3.2-113 2B,,92.5,26.07.2016
Siemens SWT-3.3-130 LN 3300 130.0 !O!,3 300,248.6,130,85.0,92.9,97.1,102.4,104.9,104.9,104.9,104.9,104.9,,,Yes,Siemens,SWT-3.3-130 LN,,85,15.08.2016
Siemens SWT-3.3-130 LN 3300 130.0 !O!,3 300,248.6,130,135.0,93.7,98.2,103.5,104.9,104.9,104.9,104.9,104.9,,,Yes,Siemens,SWT-3.3-130 LN,,85,15.08.2016
Siemens SWT-3.4-108 3400 108.0 !O!,3 400,371.1,108,74.5,90.7,94.7,99.2,104.0,106.5,107.0,107.0,107.0,,,Yes,Siemens,SWT-3.4-108,,94,26.07.2016
Siemens SWT-3.4-108 3400 108.0 !O!,3 400,371.1,108,89.5,91.0,95.2,99.9,104.5,106.7,107.0,107.0,107.0,,,Yes,Siemens,SWT-3.4-108,,94,26.07.2016
Siemens SWT-3.4-108 3400 108.0 !O!,3 400,371.1,108,94.0,91.1,95.3,100.0,104.6,106.7,107.0,107.0,107.0,,,Yes,Siemens,SWT-3.4-108,,94,26.07.2016
Siemens SWT-3.6-120 3600 120.0 !O!,3 600,318.3,120,89.5,,,,107.4,,108.0,,,,,Yes,Siemens,SWT-3.6-120,,89.5,29.07.2016
Siemens SWT-DD-130 4200 130.0 !O!,4 200,316.4,130,,,,,,,,,,,,Yes,Siemens,SWT-DD-130,,85,12.02.2018
